id	name	levels	skills
225	Poison Charm	3	poisonResistance-1
226	Attack Charm	3	attackBoost-1
227	Defense Charm	3	defenseBoost-1
228	Paralysis Charm	3	paralysisResistance-1
229	Sleep Charm	3	sleepResistance-1
230	Stun Charm	3	stunResistance-1
231	Windproof Charm	3	windproof-1
232	Health Charm	3	healthBoost-1
233	Recovery Charm	3	recoveryUp-1
234	Fire Charm	3	fireResistance-1
235	Water Charm	3	waterResistance-1
236	Thunder Charm	3	thunderResistance-1
237	Blaze Charm	3	fireAttack-1
238	Flood Charm	3	waterAttack-1
239	Shock Charm	3	thunderAttack-1
240	Venom Charm	3	poisonAttack-1
241	Immobilize Charm	3	paralysisAttack-1
242	Tranq Charm	3	sleepAttack-1
243	KO Charm	3	slugger-1
244	Enervate Charm	3	staminaThief-1
245	Artillery Charm	3	artillery-1
246	Hungerless Charm	3	hungerResistance-1
247	Ironside Charm	3	guard-1
248	Friendship Charm	3	wideRange-1
249	Extension Charm	3	itemProlonger-1
250	Glutton's Charm	3	speedEating-1
251	Blessing Charm	3	divineBlessing-1
252	Rally Charm	3	palicoRally-1
253	Botany Charm	3	botanist-1
254	Geology Charm	3	geologist-1
255	Slinger Charm	3	slingerCapacity-1
256	Stealth Charm	3	stealth-1
257	Smoke Charm	3	sporepuffExpert-1
258	Mirewalker Charm	3	aquaticExpert-1
259	Insect Charm	3	entomologist-1
260	Intimidator Charm	3	intimidator-1
261	Heavy Artillery Charm	3	heavyArtillery-1
262	Light Eater's Charm	3	freeMeal-1
263	Tracker Charm	3	scenthound-1
264	Fortification Charm	1	fortify-1
265	Performer's Charm	1	hornMaestro-1
266	Capacity Charm	1	capacityBoost-1
267	Bleed Charm	3	bleedingResistance-1
268	Speed Heal Charm	3	recoverySpeed-1
269	Ice Charm	3	iceResistance-1
270	Blight Charm	3	blightResistance-1
271	Frost Charm	3	iceAttack-1
272	Master's Charm	3	criticalEye-1
273	Evasion Charm	3	evadeWindow-1
274	Sheath Charm	3	quickSheath-1
275	Whetstone Charm	3	speedSharpening-1
276	Blast Charm	3	blastResistance-1
277	Dragon Charm	3	dragonResistance-1
278	Wyrmsbane Charm	3	dragonAttack-1
279	Demolition Charm	3	blastAttack-1
280	Draw Charm	2	criticalDraw-1
281	Trickshot Charm	2	specialAmmoBoost-1
282	Marathon Charm	2	marathonRunner-1
283	Fitness Charm	3	constitution-1
284	Surge Charm	2	staminaSurge-1
285	Leaping Charm	2	evadeExtender-1
286	Bombardier Charm	3	bombardier-1
287	Mushroom Charm	2	mushroomancer-1
288	Awakening Charm	2	freeElemAmmoUp-1
289	Handicraft Charm	3	handicraft-1
290	Mud Puppy Charm	1	muckResistance-1;leapOfFaith-1
291	Trickshot Charm	1	dungmaster-1;blindsider-1
292	Hunter's Life Charm	1	bbqMaster-1;masterFisher-1
293	Procurer's Charm	1	proTransporter-1;honeyHunter-1
294	Gatherer's Charm	1	masterGatherer-1;carvingPro-1
295	Guard Charm	3	ironSkin-1
296	Earplugs Charm	3	earplugs-1
297	Tremor Charm	2	tremorResistance-1
298	Exploiter Charm	2	weaknessExploit-1
299	Focus Charm	2	focus-1
300	Breaker Charm	2	partbreaker-1
301	Fury Charm	2	resentment-1
302	Grit Charm	2	heroics-1
303	Maintenance Charm	3	toolSpecialist-1
304	Power Charm	2	latentPower-1
305	Challenger Charm	2	agitator-1
306	Unscathed Charm	2	peakPerformance-1
307	Mighty Charm	2	maximumMight-1
308	Impact Charm	2	flinchFree-1
309	Miasma Charm	3	effluviaResistance-1
310	Normal Shots Charm	1	normalShots-1
311	Clearmind Charm	1	heatGuard-1;effluvialExpert-1
312	Rider's Charm	1	masterMounter-1;jumpMaster-1
313	Surveyor's Charm	1	scoutflyRangeUp-1;scholar-1
314	Critical Charm	1	criticalBoost-1
315	Invigorate Charm	2	powerProlonger-1
316	Poison Coating Charm	1	poisonFunctionality-1
317	Para Coating Charm	1	paraFunctionality-1
318	Sleep Coating Charm	1	sleepFunctionality-1
319	Blast Coating Charm	1	blastFunctionality-1
320	Geomancy Charm	1	foragersLuck-1;detector-1
341	Bulwark Charm	1	guardUp-1;resuscitate-1
342	Dispersal Charm	1	spreadPowerShots-1
343	Fair Wind Charm	1	attackBoost-1;divineBlessing-1
344	Gale Charm	1	affinitySliding-1;airborne-1
345	Penetration Charm	1	piercingShots-1
346	Wyrmslayer Charm	1	eldersealBoost-1;dragonAttack-1
